"","representative","niche","primary_cluster_id","GTDB_GENOME","gene_id","gene_id_all","present"
"20","AM261282.1|integron_01|AM261282.1_29","Bacteria","AA303","RS_GCF_003697165.2","AM261282.1_29","NZ_MN732922.1_254",0
"21","AM261282.1|integron_01|AM261282.1_29","Bacteria","AA303","RS_GCF_003697165.2","AM261282.1_29","NZ_MZ513634.1_46",0
"22","AM261282.1|integron_01|AM261282.1_29","Bacteria","AA303","RS_GCF_003697165.2","AM261282.1_29","NZ_OP290545.1_1",0
"23","AM261282.1|integron_01|AM261282.1_29","Bacteria","AA303","RS_GCF_003697165.2","AM261282.1_29","OV141395.1_159",0
"24","AM261282.1|integron_01|AM261282.1_29","domesticated animal","AB233","GB_GCA_047199055.1","AM261282.1_29","AM261282.1_29",1
"25","AM261282.1|integron_01|AM261282.1_29","domesticated animal","AB233","GB_GCA_047199055.1","AM261282.1_29","AP018569.2_107",0
"26","AM261282.1|integron_01|AM261282.1_29","domesticated animal","AB233","GB_GCA_047199055.1","AM261282.1_29","AP019386.1_109",0
"27","AM261282.1|integron_01|AM261282.1_29","domesticated animal","AB233","GB_GCA_047199055.1","AM261282.1_29","AP019386.1_110",0
"28","AM261282.1|integron_01|AM261282.1_29","domesticated animal","AB233","GB_GCA_047199055.1","AM261282.1_29","AP026508.1_104",0
"29","AM261282.1|integron_01|AM261282.1_29","domesticated animal","AB233","GB_GCA_047199055.1","AM261282.1_29","AP027468.1_321",0
"30","AM261282.1|integron_01|AM261282.1_29","domesticated animal","AB233","GB_GCA_047199055.1","AM261282.1_29","CP034325.1_174",0
"31","AM261282.1|integron_01|AM261282.1_29","domesticated animal","AB233","GB_GCA_047199055.1","AM261282.1_29","CP034325.1_175",0
"32","AM261282.1|integron_01|AM261282.1_29","domesticated animal","AB233","GB_GCA_047199055.1","AM261282.1_29","CP057748.1_80",0
"33","AM261282.1|integron_01|AM261282.1_29","domesticated animal","AB233","GB_GCA_047199055.1","AM261282.1_29","NC_010870.1_119",0
"34","AM261282.1|integron_01|AM261282.1_29","domesticated animal","AB233","GB_GCA_047199055.1","AM261282.1_29","NZ_AP027706.1_49",0
"35","AM261282.1|integron_01|AM261282.1_29","domesticated animal","AB233","GB_GCA_047199055.1","AM261282.1_29","NZ_CP019353.1_215",0
"36","AM261282.1|integron_01|AM261282.1_29","domesticated animal","AB233","GB_GCA_047199055.1","AM261282.1_29","NZ_CP049291.1_137",0
"37","AM261282.1|integron_01|AM261282.1_29","domesticated animal","AB233","GB_GCA_047199055.1","AM261282.1_29","NZ_CP053772.1_89",0
"38","AM261282.1|integron_01|AM261282.1_29","domesticated animal","AB233","GB_GCA_047199055.1","AM261282.1_29","NZ_CP115377.1_59",0
"39","AM261282.1|integron_01|AM261282.1_29","domesticated animal","AB233","GB_GCA_047199055.1","AM261282.1_29","NZ_CP139811.1_48",0
"40","AM261282.1|integron_01|AM261282.1_29","domesticated animal","AB233","GB_GCA_047199055.1","AM261282.1_29","NZ_CP142966.1_27",0
"41","AM261282.1|integron_01|AM261282.1_29","domesticated animal","AB233","GB_GCA_047199055.1","AM261282.1_29","NZ_CP146544.1_32",0
"42","AM261282.1|integron_01|AM261282.1_29","domesticated animal","AB233","GB_GCA_047199055.1","AM261282.1_29","NZ_KP056256.1_146",0
"43","AM261282.1|integron_01|AM261282.1_29","domesticated animal","AB233","GB_GCA_047199055.1","AM261282.1_29","NZ_MN732922.1_254",0
"44","AM261282.1|integron_01|AM261282.1_29","domesticated animal","AB233","GB_GCA_047199055.1","AM261282.1_29","NZ_MZ513634.1_46",0
"45","AM261282.1|integron_01|AM261282.1_29","domesticated animal","AB233","GB_GCA_047199055.1","AM261282.1_29","NZ_OP290545.1_1",0
"46","AM261282.1|integron_01|AM261282.1_29","domesticated animal","AB233","GB_GCA_047199055.1","AM261282.1_29","OV141395.1_159",0
"47","AM261282.1|integron_01|AM261282.1_29","environmental","AA176","RS_GCF_003697165.2","AM261282.1_29","AM261282.1_29",1
"48","AM261282.1|integron_01|AM261282.1_29","environmental","AA176","RS_GCF_003697165.2","AM261282.1_29","AP018569.2_107",0
"49","AM261282.1|integron_01|AM261282.1_29","environmental","AA176","RS_GCF_003697165.2","AM261282.1_29","AP019386.1_109",0
"50","AM261282.1|integron_01|AM261282.1_29","environmental","AA176","RS_GCF_003697165.2","AM261282.1_29","AP019386.1_110",0
"51","AM261282.1|integron_01|AM261282.1_29","environmental","AA176","RS_GCF_003697165.2","AM261282.1_29","AP026508.1_104",0
"52","AM261282.1|integron_01|AM261282.1_29","environmental","AA176","RS_GCF_003697165.2","AM261282.1_29","AP027468.1_321",0
"53","AM261282.1|integron_01|AM261282.1_29","environmental","AA176","RS_GCF_003697165.2","AM261282.1_29","CP034325.1_174",0
"54","AM261282.1|integron_01|AM261282.1_29","environmental","AA176","RS_GCF_003697165.2","AM261282.1_29","CP034325.1_175",0
"55","AM261282.1|integron_01|AM261282.1_29","environmental","AA176","RS_GCF_003697165.2","AM261282.1_29","CP057748.1_80",0
"56","AM261282.1|integron_01|AM261282.1_29","environmental","AA176","RS_GCF_003697165.2","AM261282.1_29","NC_010870.1_119",0
"57","AM261282.1|integron_01|AM261282.1_29","environmental","AA176","RS_GCF_003697165.2","AM261282.1_29","NZ_AP027706.1_49",0
"58","AM261282.1|integron_01|AM261282.1_29","environmental","AA176","RS_GCF_003697165.2","AM261282.1_29","NZ_CP019353.1_215",0
"59","AM261282.1|integron_01|AM261282.1_29","environmental","AA176","RS_GCF_003697165.2","AM261282.1_29","NZ_CP049291.1_137",0
"60","AM261282.1|integron_01|AM261282.1_29","environmental","AA176","RS_GCF_003697165.2","AM261282.1_29","NZ_CP053772.1_89",0
"61","AM261282.1|integron_01|AM261282.1_29","environmental","AA176","RS_GCF_003697165.2","AM261282.1_29","NZ_CP115377.1_59",0
"62","AM261282.1|integron_01|AM261282.1_29","environmental","AA176","RS_GCF_003697165.2","AM261282.1_29","NZ_CP139811.1_48",0
"63","AM261282.1|integron_01|AM261282.1_29","environmental","AA176","RS_GCF_003697165.2","AM261282.1_29","NZ_CP142966.1_27",0
"64","AM261282.1|integron_01|AM261282.1_29","environmental","AA176","RS_GCF_003697165.2","AM261282.1_29","NZ_CP146544.1_32",0
"65","AM261282.1|integron_01|AM261282.1_29","environmental","AA176","RS_GCF_003697165.2","AM261282.1_29","NZ_KP056256.1_146",0
"66","AM261282.1|integron_01|AM261282.1_29","environmental","AA176","RS_GCF_003697165.2","AM261282.1_29","NZ_MN732922.1_254",0
"67","AM261282.1|integron_01|AM261282.1_29","environmental","AA176","RS_GCF_003697165.2","AM261282.1_29","NZ_MZ513634.1_46",0
"68","AM261282.1|integron_01|AM261282.1_29","environmental","AA176","RS_GCF_003697165.2","AM261282.1_29","NZ_OP290545.1_1",0
"69","AM261282.1|integron_01|AM261282.1_29","environmental","AA176","RS_GCF_003697165.2","AM261282.1_29","OV141395.1_159",0
"70","AM261282.1|integron_01|AM261282.1_29","environmental","AA276","RS_GCF_000742135.1","AM261282.1_29","AM261282.1_29",1
"71","AM261282.1|integron_01|AM261282.1_29","environmental","AA276","RS_GCF_000742135.1","AM261282.1_29","AP018569.2_107",0
"72","AM261282.1|integron_01|AM261282.1_29","environmental","AA276","RS_GCF_000742135.1","AM261282.1_29","AP019386.1_109",0
"73","AM261282.1|integron_01|AM261282.1_29","environmental","AA276","RS_GCF_000742135.1","AM261282.1_29","AP019386.1_110",0
"74","AM261282.1|integron_01|AM261282.1_29","environmental","AA276","RS_GCF_000742135.1","AM261282.1_29","AP026508.1_104",0
"75","AM261282.1|integron_01|AM261282.1_29","environmental","AA276","RS_GCF_000742135.1","AM261282.1_29","AP027468.1_321",0
"76","AM261282.1|integron_01|AM261282.1_29","environmental","AA276","RS_GCF_000742135.1","AM261282.1_29","CP034325.1_174",0
"77","AM261282.1|integron_01|AM261282.1_29","environmental","AA276","RS_GCF_000742135.1","AM261282.1_29","CP034325.1_175",0
"78","AM261282.1|integron_01|AM261282.1_29","environmental","AA276","RS_GCF_000742135.1","AM261282.1_29","CP057748.1_80",0
"79","AM261282.1|integron_01|AM261282.1_29","environmental","AA276","RS_GCF_000742135.1","AM261282.1_29","NC_010870.1_119",0
"80","AM261282.1|integron_01|AM261282.1_29","environmental","AA276","RS_GCF_000742135.1","AM261282.1_29","NZ_AP027706.1_49",0
"81","AM261282.1|integron_01|AM261282.1_29","environmental","AA276","RS_GCF_000742135.1","AM261282.1_29","NZ_CP019353.1_215",0
"82","AM261282.1|integron_01|AM261282.1_29","environmental","AA276","RS_GCF_000742135.1","AM261282.1_29","NZ_CP049291.1_137",0
"83","AM261282.1|integron_01|AM261282.1_29","environmental","AA276","RS_GCF_000742135.1","AM261282.1_29","NZ_CP053772.1_89",0
"84","AM261282.1|integron_01|AM261282.1_29","environmental","AA276","RS_GCF_000742135.1","AM261282.1_29","NZ_CP115377.1_59",0
"85","AM261282.1|integron_01|AM261282.1_29","environmental","AA276","RS_GCF_000742135.1","AM261282.1_29","NZ_CP139811.1_48",0
"86","AM261282.1|integron_01|AM261282.1_29","environmental","AA276","RS_GCF_000742135.1","AM261282.1_29","NZ_CP142966.1_27",0
"87","AM261282.1|integron_01|AM261282.1_29","environmental","AA276","RS_GCF_000742135.1","AM261282.1_29","NZ_CP146544.1_32",0
"88","AM261282.1|integron_01|AM261282.1_29","environmental","AA276","RS_GCF_000742135.1","AM261282.1_29","NZ_KP056256.1_146",0
"89","AM261282.1|integron_01|AM261282.1_29","environmental","AA276","RS_GCF_000742135.1","AM261282.1_29","NZ_MN732922.1_254",0
"90","AM261282.1|integron_01|AM261282.1_29","environmental","AA276","RS_GCF_000742135.1","AM261282.1_29","NZ_MZ513634.1_46",0
"91","AM261282.1|integron_01|AM261282.1_29","environmental","AA276","RS_GCF_000742135.1","AM261282.1_29","NZ_OP290545.1_1",0
"92","AM261282.1|integron_01|AM261282.1_29","environmental","AA276","RS_GCF_000742135.1","AM261282.1_29","OV141395.1_159",0
"93","AM261282.1|integron_01|AM261282.1_29","environmental","AA473","RS_GCF_003697165.2","AM261282.1_29","AM261282.1_29",1
"94","AM261282.1|integron_01|AM261282.1_29","environmental","AA473","RS_GCF_003697165.2","AM261282.1_29","AP018569.2_107",0
"95","AM261282.1|integron_01|AM261282.1_29","environmental","AA473","RS_GCF_003697165.2","AM261282.1_29","AP019386.1_109",0
"96","AM261282.1|integron_01|AM261282.1_29","environmental","AA473","RS_GCF_003697165.2","AM261282.1_29","AP019386.1_110",0
"97","AM261282.1|integron_01|AM261282.1_29","environmental","AA473","RS_GCF_003697165.2","AM261282.1_29","AP026508.1_104",0
"98","AM261282.1|integron_01|AM261282.1_29","environmental","AA473","RS_GCF_003697165.2","AM261282.1_29","AP027468.1_321",0
"99","AM261282.1|integron_01|AM261282.1_29","environmental","AA473","RS_GCF_003697165.2","AM261282.1_29","CP034325.1_174",0
"100","AM261282.1|integron_01|AM261282.1_29","environmental","AA473","RS_GCF_003697165.2","AM261282.1_29","CP034325.1_175",0
"101","AM261282.1|integron_01|AM261282.1_29","environmental","AA473","RS_GCF_003697165.2","AM261282.1_29","CP057748.1_80",0
"102","AM261282.1|integron_01|AM261282.1_29","environmental","AA473","RS_GCF_003697165.2","AM261282.1_29","NC_010870.1_119",0
"103","AM261282.1|integron_01|AM261282.1_29","environmental","AA473","RS_GCF_003697165.2","AM261282.1_29","NZ_AP027706.1_49",0
"104","AM261282.1|integron_01|AM261282.1_29","environmental","AA473","RS_GCF_003697165.2","AM261282.1_29","NZ_CP019353.1_215",0
"105","AM261282.1|integron_01|AM261282.1_29","environmental","AA473","RS_GCF_003697165.2","AM261282.1_29","NZ_CP049291.1_137",0
"106","AM261282.1|integron_01|AM261282.1_29","environmental","AA473","RS_GCF_003697165.2","AM261282.1_29","NZ_CP053772.1_89",0
"107","AM261282.1|integron_01|AM261282.1_29","environmental","AA473","RS_GCF_003697165.2","AM261282.1_29","NZ_CP115377.1_59",0
"108","AM261282.1|integron_01|AM261282.1_29","environmental","AA473","RS_GCF_003697165.2","AM261282.1_29","NZ_CP139811.1_48",0
"109","AM261282.1|integron_01|AM261282.1_29","environmental","AA473","RS_GCF_003697165.2","AM261282.1_29","NZ_CP142966.1_27",0
"110","AM261282.1|integron_01|AM261282.1_29","environmental","AA473","RS_GCF_003697165.2","AM261282.1_29","NZ_CP146544.1_32",0
"111","AM261282.1|integron_01|AM261282.1_29","environmental","AA473","RS_GCF_003697165.2","AM261282.1_29","NZ_KP056256.1_146",0
"112","AM261282.1|integron_01|AM261282.1_29","environmental","AA473","RS_GCF_003697165.2","AM261282.1_29","NZ_MN732922.1_254",0
"113","AM261282.1|integron_01|AM261282.1_29","environmental","AA473","RS_GCF_003697165.2","AM261282.1_29","NZ_MZ513634.1_46",0
"114","AM261282.1|integron_01|AM261282.1_29","environmental","AA473","RS_GCF_003697165.2","AM261282.1_29","NZ_OP290545.1_1",0
"115","AM261282.1|integron_01|AM261282.1_29","environmental","AA473","RS_GCF_003697165.2","AM261282.1_29","OV141395.1_159",0
"116","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","GB_GCA_047199055.1","AM261282.1_29","AM261282.1_29",1
"117","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","GB_GCA_047199055.1","AM261282.1_29","AP018569.2_107",0
"118","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","GB_GCA_047199055.1","AM261282.1_29","AP019386.1_109",0
"119","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","GB_GCA_047199055.1","AM261282.1_29","AP019386.1_110",0
"120","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","GB_GCA_047199055.1","AM261282.1_29","AP026508.1_104",0
"121","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","GB_GCA_047199055.1","AM261282.1_29","AP027468.1_321",0
"122","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","GB_GCA_047199055.1","AM261282.1_29","CP034325.1_174",0
"123","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","GB_GCA_047199055.1","AM261282.1_29","CP034325.1_175",0
"124","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","GB_GCA_047199055.1","AM261282.1_29","CP057748.1_80",0
"125","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","GB_GCA_047199055.1","AM261282.1_29","NC_010870.1_119",0
"126","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","GB_GCA_047199055.1","AM261282.1_29","NZ_AP027706.1_49",0
"127","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","GB_GCA_047199055.1","AM261282.1_29","NZ_CP019353.1_215",0
"128","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","GB_GCA_047199055.1","AM261282.1_29","NZ_CP049291.1_137",0
"129","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","GB_GCA_047199055.1","AM261282.1_29","NZ_CP053772.1_89",0
"130","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","GB_GCA_047199055.1","AM261282.1_29","NZ_CP115377.1_59",0
"131","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","GB_GCA_047199055.1","AM261282.1_29","NZ_CP139811.1_48",0
"132","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","GB_GCA_047199055.1","AM261282.1_29","NZ_CP142966.1_27",0
"133","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","GB_GCA_047199055.1","AM261282.1_29","NZ_CP146544.1_32",0
"134","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","GB_GCA_047199055.1","AM261282.1_29","NZ_KP056256.1_146",0
"135","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","GB_GCA_047199055.1","AM261282.1_29","NZ_MN732922.1_254",0
"136","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","GB_GCA_047199055.1","AM261282.1_29","NZ_MZ513634.1_46",0
"137","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","GB_GCA_047199055.1","AM261282.1_29","NZ_OP290545.1_1",0
"138","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","GB_GCA_047199055.1","AM261282.1_29","OV141395.1_159",0
"139","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","RS_GCF_003697165.2","AM261282.1_29","AM261282.1_29",1
"140","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","RS_GCF_003697165.2","AM261282.1_29","AP018569.2_107",0
"141","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","RS_GCF_003697165.2","AM261282.1_29","AP019386.1_109",0
"142","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","RS_GCF_003697165.2","AM261282.1_29","AP019386.1_110",0
"143","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","RS_GCF_003697165.2","AM261282.1_29","AP026508.1_104",0
"144","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","RS_GCF_003697165.2","AM261282.1_29","AP027468.1_321",0
"145","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","RS_GCF_003697165.2","AM261282.1_29","CP034325.1_174",0
"146","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","RS_GCF_003697165.2","AM261282.1_29","CP034325.1_175",0
"147","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","RS_GCF_003697165.2","AM261282.1_29","CP057748.1_80",0
"148","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","RS_GCF_003697165.2","AM261282.1_29","NC_010870.1_119",0
"149","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","RS_GCF_003697165.2","AM261282.1_29","NZ_AP027706.1_49",0
"150","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","RS_GCF_003697165.2","AM261282.1_29","NZ_CP019353.1_215",0
"151","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","RS_GCF_003697165.2","AM261282.1_29","NZ_CP049291.1_137",0
"152","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","RS_GCF_003697165.2","AM261282.1_29","NZ_CP053772.1_89",0
"153","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","RS_GCF_003697165.2","AM261282.1_29","NZ_CP115377.1_59",0
"154","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","RS_GCF_003697165.2","AM261282.1_29","NZ_CP139811.1_48",0
"155","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","RS_GCF_003697165.2","AM261282.1_29","NZ_CP142966.1_27",0
"156","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","RS_GCF_003697165.2","AM261282.1_29","NZ_CP146544.1_32",0
"157","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","RS_GCF_003697165.2","AM261282.1_29","NZ_KP056256.1_146",0
"158","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","RS_GCF_003697165.2","AM261282.1_29","NZ_MN732922.1_254",0
"159","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","RS_GCF_003697165.2","AM261282.1_29","NZ_MZ513634.1_46",0
"160","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","RS_GCF_003697165.2","AM261282.1_29","NZ_OP290545.1_1",0
"161","AM261282.1|integron_01|AM261282.1_29","environmental","AA474","RS_GCF_003697165.2","AM261282.1_29","OV141395.1_159",0
"162","AM261282.1|integron_01|AM261282.1_29","environmental","AA543","RS_GCF_003697165.2","AM261282.1_29","AM261282.1_29",1
"163","AM261282.1|integron_01|AM261282.1_29","environmental","AA543","RS_GCF_003697165.2","AM261282.1_29","AP018569.2_107",0
"164","AM261282.1|integron_01|AM261282.1_29","environmental","AA543","RS_GCF_003697165.2","AM261282.1_29","AP019386.1_109",0
"165","AM261282.1|integron_01|AM261282.1_29","environmental","AA543","RS_GCF_003697165.2","AM261282.1_29","AP019386.1_110",0
"166","AM261282.1|integron_01|AM261282.1_29","environmental","AA543","RS_GCF_003697165.2","AM261282.1_29","AP026508.1_104",0
"167","AM261282.1|integron_01|AM261282.1_29","environmental","AA543","RS_GCF_003697165.2","AM261282.1_29","AP027468.1_321",0
"168","AM261282.1|integron_01|AM261282.1_29","environmental","AA543","RS_GCF_003697165.2","AM261282.1_29","CP034325.1_174",0
"169","AM261282.1|integron_01|AM261282.1_29","environmental","AA543","RS_GCF_003697165.2","AM261282.1_29","CP034325.1_175",0
"170","AM261282.1|integron_01|AM261282.1_29","environmental","AA543","RS_GCF_003697165.2","AM261282.1_29","CP057748.1_80",0
"171","AM261282.1|integron_01|AM261282.1_29","environmental","AA543","RS_GCF_003697165.2","AM261282.1_29","NC_010870.1_119",0
"172","AM261282.1|integron_01|AM261282.1_29","environmental","AA543","RS_GCF_003697165.2","AM261282.1_29","NZ_AP027706.1_49",0
"173","AM261282.1|integron_01|AM261282.1_29","environmental","AA543","RS_GCF_003697165.2","AM261282.1_29","NZ_CP019353.1_215",0
"174","AM261282.1|integron_01|AM261282.1_29","environmental","AA543","RS_GCF_003697165.2","AM261282.1_29","NZ_CP049291.1_137",0
"175","AM261282.1|integron_01|AM261282.1_29","environmental","AA543","RS_GCF_003697165.2","AM261282.1_29","NZ_CP053772.1_89",0
"176","AM261282.1|integron_01|AM261282.1_29","environmental","AA543","RS_GCF_003697165.2","AM261282.1_29","NZ_CP115377.1_59",0
"177","AM261282.1|integron_01|AM261282.1_29","environmental","AA543","RS_GCF_003697165.2","AM261282.1_29","NZ_CP139811.1_48",0
"178","AM261282.1|integron_01|AM261282.1_29","environmental","AA543","RS_GCF_003697165.2","AM261282.1_29","NZ_CP142966.1_27",0
"179","AM261282.1|integron_01|AM261282.1_29","environmental","AA543","RS_GCF_003697165.2","AM261282.1_29","NZ_CP146544.1_32",0
"180","AM261282.1|integron_01|AM261282.1_29","environmental","AA543","RS_GCF_003697165.2","AM261282.1_29","NZ_KP056256.1_146",0
"181","AM261282.1|integron_01|AM261282.1_29","environmental","AA543","RS_GCF_003697165.2","AM261282.1_29","NZ_MN732922.1_254",0
"182","AM261282.1|integron_01|AM261282.1_29","environmental","AA543","RS_GCF_003697165.2","AM261282.1_29","NZ_MZ513634.1_46",0
"183","AM261282.1|integron_01|AM261282.1_29","environmental","AA543","RS_GCF_003697165.2","AM261282.1_29","NZ_OP290545.1_1",0
"184","AM261282.1|integron_01|AM261282.1_29","environmental","AA543","RS_GCF_003697165.2","AM261282.1_29","OV141395.1_159",0
"185","AM261282.1|integron_01|AM261282.1_29","environmental","AA738","GB_GCA_047199055.1","AM261282.1_29","AM261282.1_29",1
"186","AM261282.1|integron_01|AM261282.1_29","environmental","AA738","GB_GCA_047199055.1","AM261282.1_29","AP018569.2_107",0
"187","AM261282.1|integron_01|AM261282.1_29","environmental","AA738","GB_GCA_047199055.1","AM261282.1_29","AP019386.1_109",0
"188","AM261282.1|integron_01|AM261282.1_29","environmental","AA738","GB_GCA_047199055.1","AM261282.1_29","AP019386.1_110",0
"189","AM261282.1|integron_01|AM261282.1_29","environmental","AA738","GB_GCA_047199055.1","AM261282.1_29","AP026508.1_104",0
"190","AM261282.1|integron_01|AM261282.1_29","environmental","AA738","GB_GCA_047199055.1","AM261282.1_29","AP027468.1_321",0
"191","AM261282.1|integron_01|AM261282.1_29","environmental","AA738","GB_GCA_047199055.1","AM261282.1_29","CP034325.1_174",0
"192","AM261282.1|integron_01|AM261282.1_29","environmental","AA738","GB_GCA_047199055.1","AM261282.1_29","CP034325.1_175",0
"193","AM261282.1|integron_01|AM261282.1_29","environmental","AA738","GB_GCA_047199055.1","AM261282.1_29","CP057748.1_80",0
"194","AM261282.1|integron_01|AM261282.1_29","environmental","AA738","GB_GCA_047199055.1","AM261282.1_29","NC_010870.1_119",0
"195","AM261282.1|integron_01|AM261282.1_29","environmental","AA738","GB_GCA_047199055.1","AM261282.1_29","NZ_AP027706.1_49",0
"196","AM261282.1|integron_01|AM261282.1_29","environmental","AA738","GB_GCA_047199055.1","AM261282.1_29","NZ_CP019353.1_215",0
"197","AM261282.1|integron_01|AM261282.1_29","environmental","AA738","GB_GCA_047199055.1","AM261282.1_29","NZ_CP049291.1_137",0
"198","AM261282.1|integron_01|AM261282.1_29","environmental","AA738","GB_GCA_047199055.1","AM261282.1_29","NZ_CP053772.1_89",0
"199","AM261282.1|integron_01|AM261282.1_29","environmental","AA738","GB_GCA_047199055.1","AM261282.1_29","NZ_CP115377.1_59",0
"200","AM261282.1|integron_01|AM261282.1_29","environmental","AA738","GB_GCA_047199055.1","AM261282.1_29","NZ_CP139811.1_48",0
"201","AM261282.1|integron_01|AM261282.1_29","environmental","AA738","GB_GCA_047199055.1","AM261282.1_29","NZ_CP142966.1_27",0
"202","AM261282.1|integron_01|AM261282.1_29","environmental","AA738","GB_GCA_047199055.1","AM261282.1_29","NZ_CP146544.1_32",0
"203","AM261282.1|integron_01|AM261282.1_29","environmental","AA738","GB_GCA_047199055.1","AM261282.1_29","NZ_KP056256.1_146",0
"204","AM261282.1|integron_01|AM261282.1_29","environmental","AA738","GB_GCA_047199055.1","AM261282.1_29","NZ_MN732922.1_254",0
"205","AM261282.1|integron_01|AM261282.1_29","environmental","AA738","GB_GCA_047199055.1","AM261282.1_29","NZ_MZ513634.1_46",0
